song_name,artist_name,played_at,timestamp

I See the Light,Ben E. King,2021-08-28T17:14:33.930Z,2021-08-28

Let Me Live in Your Life,Ben E. King,2021-08-28T17:13:55.877Z,2021-08-28

Stand by Me,Ben E. King,2021-08-28T17:13:33.302Z,2021-08-28

"Stand By Me - DJ ""D.O.C."" Remix",Ben E. King,2021-08-28T17:12:50.194Z,2021-08-28

Seven Nation Army,Scott Rill,2021-08-28T17:12:03.221Z,2021-08-28

Knockin' On Heaven's Door,Bob Dylan,2021-08-28T17:11:56.641Z,2021-08-28

Can't Say No,The Helio Sequence,2021-08-28T17:11:46.727Z,2021-08-28

Soldier,NEFFEX,2021-08-28T14:18:52.131Z,2021-08-28

Smoke On The Water - Remastered 2012,Deep Purple,2021-08-28T14:11:54.096Z,2021-08-28

Bohemian Rhapsody - Remastered 2011,Queen,2021-08-28T14:11:48.968Z,2021-08-28

Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65,2021-08-28T13:38:03.670Z,2021-08-28

Thunderstruck,AC/DC,2021-08-28T13:33:44.725Z,2021-08-28

Catholic Country,Kings of Convenience,2021-08-28T13:30:18.021Z,2021-08-28

Asylum,Chloe Foy,2021-08-28T13:29:44.281Z,2021-08-28

Should I Stay or Should I Go - Remastered,The Clash,2021-08-28T13:28:07.017Z,2021-08-28

T.N.T.,AC/DC,2021-08-28T13:24:57.989Z,2021-08-28

Highway to Hell,AC/DC,2021-08-28T13:23:05.023Z,2021-08-28

Californication,Red Hot Chili Peppers,2021-08-28T13:22:52.476Z,2021-08-28

Personal Jesus - Single Version,Depeche Mode,2021-08-28T13:22:08.407Z,2021-08-28

Forever / I Still Miss Someone,Johnny Cash,2021-08-28T13:22:08.404Z,2021-08-28

Growing Up,Run River North,2021-08-29T18:26:02.860Z,2021-08-29

"Gottes Zeit ist die allerbeste Zeit, Sonatina az ""Actus tragicus""-bl, BWV 106",Gyrgy Kurtg,2021-08-29T18:21:01.306Z,2021-08-29

"Orchestral Suite No. 2 in B Minor, BWV 1067: I. Ouverture",Johann Sebastian Bach,2021-08-29T18:20:38.389Z,2021-08-29

Toccata and Fugue in D minor,William McVicker,2021-08-29T18:20:17.130Z,2021-08-29

"Cello Suite No. 1 in G Major, BWV 1007: I. Prelude",Johann Sebastian Bach,2021-08-29T18:19:45.386Z,2021-08-29

Basket Case,Guitar Tribute Players,2021-08-29T18:19:07.053Z,2021-08-29

Welcome to Paradise,Green Day,2021-08-29T18:18:50.976Z,2021-08-29

Holiday / Boulevard of Broken Dreams,Green Day,2021-08-29T18:14:56.154Z,2021-08-29

When I Come Around,Green Day,2021-08-29T18:12:19.783Z,2021-08-29

Boulevard of Broken Dreams,Green Day,2021-08-29T18:12:03.899Z,2021-08-29

21 Guns,Green Day,2021-08-29T18:11:06.970Z,2021-08-29

Good Riddance (Time of Your Life),Green Day,2021-08-29T18:10:47.075Z,2021-08-29

Wake Me up When September Ends,Green Day,2021-08-29T18:10:44.011Z,2021-08-29

American Idiot,Green Day,2021-08-29T18:10:41.360Z,2021-08-29

Basket Case,Green Day,2021-08-29T18:09:08.531Z,2021-08-29

I Walk The Line - Single Version,Johnny Cash,2021-08-29T18:08:51.138Z,2021-08-29

Ring of Fire,Johnny Cash,2021-08-29T18:08:15.830Z,2021-08-29

Hurt,Johnny Cash,2021-08-29T18:05:35.931Z,2021-08-29

Cheek To Cheek,Ella Fitzgerald,2021-08-29T13:57:31.296Z,2021-08-29

Can't Help Falling in Love,Elvis Presley,2021-08-29T13:57:03.157Z,2021-08-29

Still Loving You,Scorpions,2021-08-30T21:38:09.495Z,2021-08-30
Come and See Me (feat. Drake),PARTYNEXTDOOR,2021-08-30T21:36:31.353Z,2021-08-30
I Wish I Knew How It Would Feel to Be Free,Nina Simone,2021-08-30T21:31:27.995Z,2021-08-30
Baltimore,Nina Simone,2021-08-30T21:28:19.076Z,2021-08-30
I Put A Spell On You,Nina Simone,2021-08-30T21:23:37.150Z,2021-08-30
My Baby Just Cares for Me - 2013 Remastered Version,Nina Simone,2021-08-30T21:23:35.926Z,2021-08-30
Feeling Good,Nina Simone,2021-08-30T21:22:24.995Z,2021-08-30
Dark Necessities,Red Hot Chili Peppers,2021-08-30T21:17:19.953Z,2021-08-30
Give It Away,Red Hot Chili Peppers,2021-08-30T21:17:10.387Z,2021-08-30
By the Way,Red Hot Chili Peppers,2021-08-30T21:16:59.113Z,2021-08-30
Dani California,Red Hot Chili Peppers,2021-08-30T21:12:29.318Z,2021-08-30
Scar Tissue,Red Hot Chili Peppers,2021-08-30T21:07:47.116Z,2021-08-30
Otherside,Red Hot Chili Peppers,2021-08-30T21:04:11.028Z,2021-08-30
Sindbad,Marwan Pablo,2021-08-30T20:44:15.513Z,2021-08-30
Atary (Full Version),Marwan Pablo,2021-08-30T20:42:14.545Z,2021-08-30
